Bowler,Wickets,Runs Given,Overs Bowled,Economy,Average,Type
Kuldeep Yadav,,,,,,
Kuldeep Yadav,,,,,,
Kuldeep Yadav,,,,,,
Kuldeep Yadav,,,,,,
Kuldeep Yadav,1,20,4,5,24.5,Spinner
Kuldeep Yadav,1,17,4,4.25,24.5,Spinner
Kuldeep Yadav,0,12,1,12,24.5,Spinner
Kuldeep Yadav,1,20,4,5,15.33,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,3,28,4,7,15.33,Spinner
Kuldeep Yadav,2,26,6.5,,15.33,Spinner
Kuldeep Yadav,0,18,4,4.5,15.33,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,1,26,3,8.66,7.16,Spinner
Kuldeep Yadav,5,18,3,6,7.16,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,,,,,,Spinner
Kuldeep Yadav,1,31,3,10.33,31,Spinner
Yuzvendra Chahal,2,26,4,6.5,30.5,Spinner
Yuzvendra Chahal,0,26,4,6.5,28.66,Spinner
Yuzvendra Chahal,1,30,4,7.5,28.66,Spinner
Yuzvendra Chahal,2,30,3,10,28.66,Spinner
Yuzvendra Chahal,,,,,,Spinner
Yuzvendra Chahal,1,4,2,2,4,Spinner
Yuzvendra Chahal,,,,,,Spinner
Yuzvendra Chahal,2,24,3,8,20.57,Spinner
Yuzvendra Chahal,2,19,3,6.33,20.57,Spinner
Yuzvendra Chahal,0,33,4,8.25,20.57,Spinner
Yuzvendra Chahal,1,36,4,9,20.57,Spinner
Yuzvendra Chahal,0,51,4,12.75,20.57,Spinner
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Yuzvendra Chahal,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,,,,,,
Jasprit Bumrah,2,24,4,6,9.75,Pacer
Jasprit Bumrah,2,15,4,3.75,9.75,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Jasprit Bumrah,,,,,,Pacer
Arshdeep Singh,2,7,2,3.5,16.5,Pacer
Arshdeep Singh,,,,,,Pacer
Arshdeep Singh,0,37,2,18.5,19,Pacer
Arshdeep Singh,3,20,3,6.66,19,Pacer
Arshdeep Singh,1,51,4,12.75,14.8,Pacer
Arshdeep Singh,2,7,2,3.5,14.8,Pacer
Arshdeep Singh,2,16,3,5.33,14.8,Pacer
Arshdeep Singh,2,31,4,7.75,22.28,Pacer
Arshdeep Singh,1,34,4,8.5,22.28,Pacer
Arshdeep Singh,0,33,3,11,22.28,Pacer
Arshdeep Singh,3,38,4,9.5,22.28,Pacer
Arshdeep Singh,1,20,2,10,22.28,Pacer
Arshdeep Singh,1,35,4,8.75,32,Pacer
Arshdeep Singh,1,29,4,7.25,32,Pacer
Arshdeep Singh,0,41,4,10.25,42.75,Pacer
Arshdeep Singh,1,46,4,11.5,42.75,Pacer
Arshdeep Singh,1,44,4,11,42.75,Pacer
Arshdeep Singh,,,,,,Pacer
Arshdeep Singh,2,40,4,10,42.75,Pacer
Arshdeep Singh,0,31,2,15.5,44,Pacer
Arshdeep Singh,1,13,2,6.5,44,Pacer
Arshdeep Singh,0,28,4,7,20,Pacer
Arshdeep Singh,3,32,4,8,20,Pacer
Arshdeep Singh,,,,,,Pacer
Mohammad Siraj,2,24,4,6,6.83,Pacer
Mohammad Siraj,4,17,4,4.25,6.83,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,1,27,3,9,40,Pacer
Mohammad Siraj,0,13,3,4.33,40,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
Mohammad Siraj,,,,,,Pacer
