venue,team1,team2,stage,toss winner,toss decision,first innings score,second innings score,won by,winner,player of the match,top scorer,highest score,best bowler,best bowling figure
Mount Maunganui,New Zealand,India,2nd T20,New Zealand,Field,191/6,126/10,65 runs,India,Suryakumar Yadav,Suryakumar Yadav,111*,Deepak Hooda,10-Apr
Napier,New Zealand,India,3rd T20,New Zealand,Bat,160/10,75/4,Match Tied,,,,,,
"Wankhede , Mumbai",India,Sri Lanka,1st T20,Sri Lanka,Field,162/5,160/10,2 runs,India,Deepak Hooda,Dasun Shanaka,45,Shivam Mavi,22-Apr
Pune,India,Sri Lanka,2nd T20,India,Bat,206/6,190/8,16 runs,Sri Lanka,Dasun Shanaka,Axar Patel,65,Umran Malik,48/3
Rajkot,India,Sri Lanka,3rd T20,India,Bat,228/5,137/10,91 runs,India,Suryakumar Yadav,Suryakumar Yadav,112*,Arshdeep Singh,20-Mar
Ranchi,India,New Zealand,1st T20,India,Field,176/6,155/9,21 runs,New Zealand,Daryl Mitchell,Daryl Mitchell,59,Mitchel Santner,11-Feb
Lucknow,India,New Zealand,2nd T20,New Zealand,Bat,99/8,101/4,4 wickets,India,Suryakumar Yadav,Suryakumar Yadav,26*,Arshdeep Singh,07-Feb
Ahmedabad,India,New Zealand,3rd T20,India,Bat,234/4,66/10,168 runs,India,Shubman Gill,Shubman Gill,126*,Hardik Pandya,16-Apr
Trinidad,West Indies,India,1st T20,West Indies,Bat,149/6,145/9,4 runs,West Indies,Jason Holder,Rovman Powell,48,Jason Holder,19-Feb
Guyana,West Indies,India,2nd T20,India,Bat,152/7,155/8,2 wickets,West Indies,Nicholas Pooran,Nicholas Pooran,67,Hardik Pandya,35/3
Guyana,West Indies,India,3rd T20,West Indies,Bat,159/5,164/3,7 wickets,India,Suryakumar Yadav,Suryakumar Yadav,83,Kuldeep Yadav,28-Mar
Lauderhill,West Indies,India,4th T20,West Indies,Bat,178/8,179/1,9 wickets,India,Yashasvi Jaiswal,Yashasvi Jaiswal,84*,Arshdeep Singh,38/3
Lauderhill,West Indies,India,5th T20,India,Bat,165/9,171/2,8 wickets,West Indies,Romario Shephard,Brandon King,85*,Romario Shephard,31/4
Dublin,Ireland,India,1st T20,India,Field,139/9,47/2,8 wickets,India (DLS method),Jasprit Bumrah,Curtis Campher,39,Ravi Bishnoi,23-Feb
Dublin,Ireland,India,2nd T20,Ireland,Field,185/5,158/8,27 runs,India,Rinku Singh,Andry Balbrine,72,Jasprit Bumrah,15-Feb
Vizag,India,Australia,1st T20,India,Field,208/3,209/8,2 wickets,India,Suryakumar Yadav,Josh Inglis,110,Jason Behrendorff,25-Jan
Thirunvanthapuram,India,Australia,2nd T20,Australia,Field,235/4,191/9,44 runs,India,Yashasvi Jaiswal,Ruturaj Gaikwad,58,Ravi Bishnoi,32/3
Guwahati,India,Australia,3rd T20,Australia,Field,222/3,225/5,5 wickets,Australia,Glenn Maxwell,Ruturaj Gaikwad,123*,Ravi Bishnoi,32/2
Raipur,India,Australia,4th T20,Australia,Field,174/9,154/7,20 runs,India,Axar Patel,Rinku Singh,46,Axar Patel,16-Mar
Bengaluru,India,Australia,5th T20,Australia,Field,160/8,154/8,6 runs,India,Axar Patel,Ben Mcdermott,54,Mukesh Kumar,32/3
Gqebehra,South Africa,India,2nd T20,South Africa,Field,180/7,154/5,5 wickets,South Africa(DLS method),Tabriaz Shamsi,Rinku Singh,68*,Tabriaz Shamsi,18-Jan
Johannesburg,South Africa,India,3rd T20,South Africa,Field,201/7,95/10,106 runs,India,Suryakumar Yadav,Suryakumar Yadav,100,Kuldeep Yadav,17-May
Mohali,India,Afghanistan,1st T20,India,Field,158/5,159/4,6 wickets,India,Shivam Dube,Shivam Dube,60*,Mujeeb Ur Rahman,21-Feb
Indore,India,Afghanistan,2nd T20,India,Field,172/10,173/4,6 wickets,India,Axar Patel,Yashasvi Jaiswal,68,Arshdeep Singh,32/3
Bengaluru,India,Afghanistan,3rd T20,India,Bat,212/4,212/6,N/A,India (super over),Rohit Sharma,Rohit Sharma,121*,Fareed Ahmad,20-Mar
